"AnonSiteCode","N","PI","sd","se","ci"
"EI1",6,0.268576797851124,0.0223222892183522,0.00911303641263219,0.0234258058698046
"ER1",6,0.117882446666953,0.0345136031904064,0.0140901195002316,0.0362198052492403
"ES1",6,0.170361896202175,0.0136135413431469,0.00555770498049886,0.0142865354706959
"NE1",2,0.247570734040574,0.00584633039019308,0.00413397986396252,0.0525271945267314
"OH1",2,0.0499364532538487,0.00335639456160274,0.00237332935484695,0.0301560086890587
"WI1",15,0.1423082159206,0.0224674907850946,0.005801081176116,0.0124420816820642
"WI2",13,0.137831377248666,0.0196216139599159,0.00544205655691052,0.0118572226459713
"WI3",12,0.21549967150163,0.0195890697101496,0.00565487733516462,0.0124463010968359
"WI4",9,0.138104053539687,0.0164877592931279,0.00549591976437598,0.0126736137034013
"WR1",10,0.211619906358859,0.0279491243217262,0.00883828914638635,0.0199935990993795
"WR2",9,0.159330376908302,0.0226425567021532,0.00754751890071775,0.0174046097955867
"WR3",15,0.154616196041783,0.0209650205324721,0.00541314502501073,0.0116100413894115
"WR4",11,0.0933960481874929,0.0106231876313495,0.00320301158643004,0.00713675455908697
"WS1",8,0.077161734893685,0.0131909934862273,0.00466372047234946,0.0110279465315673
"WS2",10,0.174421741802874,0.0182477542114076,0.00577044654909778,0.0130536569935857
"WS3",8,0.114142276380953,0.010481427842914,0.00370574435212099,0.00876269296522828
"WS4",8,0.102608518815146,0.0111647425149657,0.00394733257126699,0.00933395832712003
"WS5",6,0.251203110500735,0.0294760007356682,0.0120335269100481,0.0309331656936105
